Storm,Time,Basin,lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),lat(+18h),lon(+18h),MaxWind(+18h),RMW(+18h),MIN_SLP(+18h),SHR_MAG(+18h),SHR_HDG(+18h),STM_SPD(+18h),STM_HDG(+18h),SST(+18h),OHC(+18h),TPW(+18h),LAND(+18h),850TANG(+18h),850VORT(+18h),200DVRG(+18h),lat(+24h),lon(+24h),MaxWind(+24h),RMW(+24h),MIN_SLP(+24h),SHR_MAG(+24h),SHR_HDG(+24h),STM_SPD(+24h),STM_HDG(+24h),SST(+24h),OHC(+24h),TPW(+24h),LAND(+24h),850TANG(+24h),850VORT(+24h),200DVRG(+24h),class
DOKSURI05W,2023072212,WPAC,14.5,130.3,39,129,993,11,155,7,286,296,9999,65,584,140,86,128,14.7,129.6,60,90,986,8,166,6,275,295,9999,65,525,159,121,131,14.6,129,62,147,980,2,212,4,254,295,9999,65,463,190,111,115,14.5,128.9,74,113,970,9,248,3,302,293,9999,66,448,200,113,126,14.9,128.5,69,100,969,6,268,4,316,291,9999,66,436,217,133,102,1
DOKSURI05W,2023072218,WPAC,14.7,129.7,44,132,991,8,146,7,270,296,9999,64,534,134,117,148,14.7,129,46,57,989,3,194,4,263,294,9999,65,468,166,117,105,14.6,128.8,57,97,981,7,246,2,308,294,9999,66,444,180,126,133,15,128.6,58,41,978,4,236,5,300,291,9999,66,452,196,130,98,15.1,127.9,57,56,972,6,261,5,312,293,9999,66,403,208,144,122,1
DOKSURI05W,2023072300,WPAC,14.8,129,54,77,989,2,203,4,256,294,9999,64,474,172,106,103,14.7,128.6,61,76,978,5,253,4,283,293,9999,65,432,186,119,117,15,128.1,75,99,973,3,317,5,287,292,9999,66,410,197,142,83,15,127.6,78,90,966,5,281,4,327,291,9999,66,373,213,153,113,15.6,127.7,78,112,960,2,201,7,345,286,9999,67,431,234,138,100,1
DOKSURI05W,2023072306,WPAC,14.9,128.3,63,107,986,5,298,5,292,294,9999,65,420,192,120,137,15.1,127.8,67,120,977,3,353,5,281,291,9999,66,395,198,128,56,15.1,127.2,66,92,971,3,340,3,297,292,9999,66,354,209,141,69,15.4,127.2,74,92,966,3,266,6,341,286,9999,67,382,226,140,65,16.2,126.8,81,115,957,3,319,9,327,287,9999,67,410,234,129,35,1
DOKSURI05W,2023072312,WPAC,15.1,127.7,81,106,969,5,11,6,260,291,9999,65,388,221,135,97,15,127.1,81,86,960,3,351,4,301,292,9999,66,339,235,146,64,15.5,127,88,103,955,2,258,7,331,284,9999,67,380,245,146,77,16.2,126.4,97,42,946,6,291,9,325,288,9999,67,378,253,149,38,17,125.9,96,107,942,2,296,9,325,291,9999,67,361,266,152,33,1
DOKSURI05W,2023072318,WPAC,15.2,126.9,92,61,961,6,3,5,339,293,9999,65,346,252,143,87,15.7,126.7,100,111,949,2,96,7,325,287,9999,67,368,257,143,85,16.3,126.1,106,112,942,4,260,8,316,289,9999,66,365,260,145,71,16.9,125.5,98,88,939,5,274,9,319,291,9999,66,320,273,156,71,17.6,124.9,106,114,938,7,201,9,321,290,9999,67,261,280,167,56,1
DOKSURI05W,2023072400,WPAC,15.2,126.4,99,96,951,1,306,7,334,293,9999,65,311,251,162,119,15.8,126.1,111,15,940,5,239,8,329,289,9999,66,324,267,160,64,16.5,125.6,109,105,936,3,247,9,327,288,9999,67,336,278,168,41,17.3,125.1,118,110,935,9,182,9,323,289,9999,66,277,281,150,32,18,124.4,112,127,936,11,174,10,312,291,9999,66,218,273,175,57,0
DOKSURI05W,2023072406,WPAC,15.7,126.3,114,13,940,3,224,9,321,288,9999,66,333,270,144,113,16.4,125.7,108,85,933,3,193,8,321,286,9999,67,348,281,166,34,17,125.2,113,133,935,12,171,9,323,288,9999,66,287,284,155,11,17.8,124.6,115,67,936,14,172,10,320,290,9999,67,236,280,162,42,18.6,123.8,119,23,934,7,199,10,311,288,9999,67,148,279,166,46,0
DOKSURI05W,2023072412,WPAC,16.5,125.8,121,149,928,2,187,9,312,286,9999,66,357,301,163,46,17.1,125.1,121,141,924,10,150,9,312,288,9999,67,276,304,154,21,17.7,124.4,124,87,928,13,184,9,310,289,9999,67,212,296,169,39,18.3,123.6,121,98,926,12,207,9,303,289,9999,68,128,294,161,16,18.7,122.8,122,146,929,9,211,7,303,288,9999,68,48,283,181,46,0
DOKSURI05W,2023072500,WPAC,17.7,124.6,128,109,922,9,162,12,296,288,9999,68,232,305,169,74,18.2,123.5,131,107,917,2,208,9,292,288,9999,69,121,308,172,-1,18.4,122.8,133,112,918,7,265,6,289,288,9999,69,44,306,176,38,18.6,122.3,121,142,924,12,239,3,317,283,9999,69,14,292,197,61,18.9,122.3,114,80,929,18,224,6,355,277,9999,69,46,281,186,73,0
