Storm,LAT+00h,LON+00h,MAXWIND+00h,RMW+00h,MIN_SLP+00h,SHR_MAG+00h,SHR_HDG+00h,STM_SPD+00h,STM_HDG+00h,SST+00h,OHC+00h,TPW+00h,LAND+00h,850TANG+00h,850VORT+00h,200DVRG+00h,LAT+06h,LON+06h,MAXWIND+06h,RMW+06h,MIN_SLP+06h,SHR_MAG+06h,SHR_HDG+06h,STM_SPD+06h,STM_HDG+06h,SST+06h,OHC+06h,TPW+06h,LAND+06h,850TANG+06h,850VORT+06h,200DVRG+06h,LAT+12h,LON+12h,MAXWIND+12h,RMW+12h,MIN_SLP+12h,SHR_MAG+12h,SHR_HDG+12h,STM_SPD+12h,STM_HDG+12h,SST+12h,OHC+12h,TPW+12h,LAND+12h,850TANG+12h,850VORT+12h,200DVRG+12h,LAT+18h,LON+18h,MAXWIND+18h,RMW+18h,MIN_SLP+18h,SHR_MAG+18h,SHR_HDG+18h,STM_SPD+18h,STM_HDG+18h,SST+18h,OHC+18h,TPW+18h,LAND+18h,850TANG+18h,850VORT+18h,200DVRG+18h,LAT+24h,LON+24h,MAXWIND+24h,RMW+24h,MIN_SLP+24h,SHR_MAG+24h,SHR_HDG+24h,STM_SPD+24h,STM_HDG+24h,SST+24h,OHC+24h,TPW+24h,LAND+24h,850TANG+24h,850VORT+24h,200DVRG+24h,class
PATRICIA20E.2015102106,13.0,264.4,34.0,89.0,1003.0,2.0,216.0,14.0,262.0,282.0,9999.0,61.0,307.0,68.0,46.0,78.0,12.8,263.0,42.0,79.0,1002.0,3.0,212.0,12.0,263.0,289.0,9999.0,63.0,332.0,79.0,42.0,85.0,12.7,261.9,39.0,81.0,1001.0,9.0,175.0,11.0,286.0,291.0,9999.0,64.0,363.0,85.0,47.0,69.0,13.4,260.9,46.0,95.0,997.0,11.0,186.0,12.0,302.0,293.0,9999.0,62.0,312.0,91.0,53.0,78.0,14.0,259.8,57.0,113.0,990.0,6.0,193.0,14.0,295.0,297.0,9999.0,62.0,299.0,101.0,51.0,75.0,0
PATRICIA20E.2015102112,13.0,263.1,34.0,90.0,1004.0,4.0,278.0,11.0,250.0,289.0,9999.0,61.0,308.0,74.0,58.0,92.0,12.6,262.0,37.0,74.0,1002.0,5.0,194.0,9.0,279.0,291.0,9999.0,64.0,372.0,83.0,37.0,69.0,13.3,261.2,43.0,103.0,1000.0,9.0,179.0,13.0,303.0,292.0,9999.0,63.0,312.0,86.0,45.0,75.0,14.0,259.8,48.0,85.0,995.0,5.0,160.0,15.0,290.0,298.0,9999.0,62.0,299.0,95.0,58.0,69.0,14.3,258.3,54.0,62.0,989.0,2.0,202.0,14.0,285.0,299.0,9999.0,63.0,335.0,105.0,68.0,94.0,1
PATRICIA20E.2015102118,13.0,261.6,33.0,75.0,1002.0,7.0,211.0,5.0,339.0,293.0,9999.0,63.0,336.0,79.0,43.0,84.0,13.5,261.4,45.0,65.0,1000.0,8.0,200.0,10.0,314.0,291.0,9999.0,62.0,285.0,86.0,36.0,73.0,14.4,260.1,57.0,30.0,998.0,2.0,174.0,15.0,298.0,297.0,9999.0,60.0,245.0,94.0,47.0,59.0,14.9,258.7,59.0,32.0,987.0,3.0,11.0,11.0,288.0,299.0,9999.0,61.0,256.0,105.0,47.0,66.0,15.1,257.9,65.0,58.0,980.0,4.0,1.0,9.0,305.0,297.0,9999.0,61.0,271.0,115.0,43.0,112.0,1
PATRICIA20E.2015102200,13.3,260.1,53.0,65.0,994.0,9.0,187.0,15.0,302.0,298.0,9999.0,63.0,356.0,111.0,63.0,77.0,14.1,258.8,54.0,42.0,991.0,4.0,184.0,15.0,300.0,297.0,9999.0,63.0,333.0,125.0,65.0,66.0,14.8,257.4,65.0,47.0,982.0,2.0,201.0,14.0,295.0,297.0,9999.0,62.0,326.0,137.0,67.0,84.0,15.3,256.1,68.0,87.0,976.0,4.0,32.0,11.0,297.0,300.0,9999.0,62.0,322.0,148.0,46.0,141.0,15.8,255.4,75.0,80.0,968.0,11.0,12.0,8.0,311.0,297.0,9999.0,62.0,308.0,152.0,43.0,107.0,1
PATRICIA20E.2015102206,14.0,258.3,69.0,64.0,983.0,1.0,235.0,17.0,299.0,297.0,9999.0,64.0,365.0,148.0,79.0,68.0,14.8,256.8,81.0,86.0,972.0,4.0,348.0,14.0,297.0,299.0,9999.0,63.0,358.0,166.0,62.0,95.0,15.3,255.7,90.0,46.0,961.0,8.0,18.0,10.0,296.0,300.0,9999.0,62.0,340.0,177.0,55.0,151.0,15.7,254.9,101.0,85.0,950.0,9.0,20.0,8.0,316.0,297.0,9999.0,63.0,345.0,182.0,37.0,100.0,16.4,254.6,101.0,83.0,943.0,9.0,26.0,7.0,336.0,291.0,9999.0,61.0,300.0,179.0,43.0,80.0,1
PATRICIA20E.2015102212,14.7,256.8,78.0,89.0,974.0,3.0,18.0,12.0,285.0,300.0,9999.0,63.0,369.0,154.0,68.0,80.0,15.0,255.6,86.0,63.0,965.0,2.0,110.0,10.0,304.0,302.0,9999.0,64.0,374.0,175.0,47.0,114.0,15.8,255.1,107.0,116.0,948.0,6.0,31.0,9.0,323.0,297.0,9999.0,63.0,324.0,186.0,45.0,133.0,16.4,254.5,105.0,80.0,942.0,9.0,36.0,8.0,326.0,295.0,9999.0,62.0,307.0,193.0,49.0,118.0,17.1,254.2,107.0,68.0,939.0,14.0,49.0,8.0,346.0,289.0,9999.0,60.0,261.0,187.0,52.0,127.0,1
PATRICIA20E.2015102218,15.1,255.9,113.0,63.0,953.0,3.0,171.0,12.0,330.0,300.0,9999.0,65.0,351.0,218.0,49.0,72.0,16.1,255.3,122.0,50.0,933.0,2.0,36.0,10.0,326.0,297.0,9999.0,63.0,285.0,205.0,51.0,119.0,16.8,254.7,120.0,36.0,928.0,5.0,359.0,9.0,334.0,292.0,9999.0,61.0,260.0,196.0,64.0,94.0,17.7,254.5,121.0,85.0,932.0,7.0,40.0,10.0,354.0,290.0,9999.0,58.0,187.0,191.0,72.0,90.0,18.7,254.5,113.0,166.0,937.0,15.0,17.0,13.0,9.0,295.0,9999.0,54.0,92.0,168.0,73.0,92.0,1
PATRICIA20E.2015102300,15.8,255.1,142.0,52.0,916.0,3.0,346.0,10.0,337.0,296.0,9999.0,65.0,324.0,242.0,44.0,105.0,16.7,254.7,140.0,15.0,911.0,4.0,21.0,10.0,347.0,292.0,9999.0,62.0,268.0,220.0,53.0,112.0,17.8,254.6,127.0,79.0,919.0,8.0,31.0,13.0,358.0,292.0,9999.0,58.0,172.0,207.0,65.0,99.0,19.3,254.6,122.0,129.0,924.0,15.0,20.0,18.0,11.0,281.0,9999.0,51.0,43.0,171.0,84.0,109.0,21.3,255.3,60.0,111.0,968.0,27.0,23.0,21.0,26.0,201.0,9999.0,41.0,-55.0,90.0,103.0,85.0,0
PATRICIA20E.2015102306,16.5,254.6,175.0,23.0,881.0,4.0,145.0,13.0,348.0,292.0,9999.0,62.0,292.0,254.0,38.0,94.0,17.8,254.3,159.0,59.0,876.0,11.0,48.0,13.0,353.0,293.0,9999.0,58.0,187.0,206.0,58.0,100.0,19.0,254.3,130.0,94.0,912.0,17.0,31.0,14.0,8.0,294.0,9999.0,54.0,88.0,179.0,70.0,109.0,20.6,254.7,99.0,113.0,945.0,26.0,31.0,19.0,19.0,237.0,9999.0,44.0,0.0,128.0,101.0,113.0,22.5,255.6,42.0,118.0,995.0,35.0,42.0,20.0,30.0,163.0,9999.0,37.0,-133.0,51.0,98.0,97.0,0
PATRICIA20E.2015102312,17.2,254.4,189.0,104.0,880.0,4.0,20.0,10.0,16.0,287.0,9999.0,60.0,241.0,249.0,52.0,136.0,18.2,254.7,130.0,111.0,900.0,10.0,25.0,14.0,6.0,288.0,9999.0,56.0,128.0,198.0,57.0,101.0,20.0,254.7,113.0,89.0,927.0,20.0,14.0,18.0,9.0,240.0,9999.0,47.0,-9.0,133.0,86.0,134.0,21.8,255.3,46.0,98.0,988.0,35.0,27.0,19.0,33.0,193.0,9999.0,40.0,-70.0,54.0,122.0,78.0,23.2,256.9,32.0,108.0,1003.0,43.0,49.0,19.0,45.0,138.0,9999.0,36.0,-277.0,39.0,132.0,78.0,0
