lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD ,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,class
28.6,282.5,44,65,994,36,86,15,59,263,9999,48,301,138,32,99,0
29.9,285.1,50,120,993,31,84,22,49,260,9999,50,541,154,26,79,0
30.9,287.5,56,163,991,34,86,23,53,262,9999,51,572,172,40,97,0
32.1,289.9,59,135,985,32,81,21,68,251,9999,48,651,188,31,86,0
33,292,57,136,986,32,87,23,67,251,9999,45,779,186,30,38,0
33.7,294.8,52,176,991,36,85,24,68,247,9999,44,1000,191,42,27,0
34.7,297.8,52,112,992,32,84,24,80,238,9999,40,1018,179,71,23,0
33,280.3,37,12,1012,26,151,8,40,263,9999,50,-10,37,-102,6,0
33.2,280.9,34,117,1013,20,155,6,51,266,9999,49,21,47,-87,5,0
33.9,281.8,26,156,1014,24,155,8,49,272,9999,50,4,37,-63,-30,0
37.9,315.3,40,151,1010,9,178,3,28,271,9999,43,1197,70,-58,7,0
38.1,315.3,65,139,1005,12,168,2,90,271,9999,42,1178,88,-58,-22,0
38,315.9,65,100,999,11,139,1,90,266,9999,43,1217,91,-41,-29,0
37.9,316.4,62,139,994,14,127,2,22,265,9999,41,1251,116,-34,-8,0
38,316.7,87,193,990,13,92,4,284,265,9999,41,1258,130,-19,2,0
38,316.5,66,102,990,9,73,1,218,265,9999,41,1247,132,-22,49,0
37.9,316.5,74,90,987,10,90,3,310,230,9999,42,1256,133,-36,12,0
38,316.5,78,163,988,3,135,5,258,231,9999,41,1247,138,-23,54,0
38.1,316,80,75,988,5,42,5,270,246,9999,41,1213,154,-28,-51,0
38,315.4,62,110,988,2,52,2,270,258,9999,41,1192,158,-19,-27,0
38,315,74,70,985,4,14,3,270,260,9999,41,1173,185,-23,-10,0
38,314.8,75,166,986,1,247,1,322,262,9999,39,1164,198,-9,24,0
38.1,314.7,79,161,980,8,94,4,360,262,9999,41,1150,208,11,38,0
38.3,314.8,83,122,976,5,83,5,30,260,9999,41,1136,212,-5,34,0
38.7,315.1,105,59,972,14,63,5,17,257,9999,42,1113,220,12,-17,0
39.3,315.4,84,134,972,13,41,7,33,257,9999,42,1074,226,10,5,0
39.9,315.9,80,130,973,15,29,9,30,259,9999,44,1049,223,30,15,0
