Storm,Time,Basin,lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),lat(+18h),lon(+18h),MaxWind(+18h),RMW(+18h),MIN_SLP(+18h),SHR_MAG(+18h),SHR_HDG(+18h),STM_SPD(+18h),STM_HDG(+18h),SST(+18h),OHC(+18h),TPW(+18h),LAND(+18h),850TANG(+18h),850VORT(+18h),200DVRG(+18h),lat(+24h),lon(+24h),MaxWind(+24h),RMW(+24h),MIN_SLP(+24h),SHR_MAG(+24h),SHR_HDG(+24h),STM_SPD(+24h),STM_HDG(+24h),SST(+24h),OHC(+24h),TPW(+24h),LAND(+24h),850TANG(+24h),850VORT(+24h),200DVRG(+24h),class
CALVIN03E,2023071206,EPAC,12.3,250.1,49,62,1002,17,229,6,289,288,9999,64,944,104,-3,22,12.5,249.5,51,57,995,11,197,11,289,286,9999,64,964,121,9,54,13,248,65,131,991,8,189,15,283,284,9999,65,1032,141,27,56,13.2,246.5,55,123,988,6,152,15,274,276,9999,64,1140,143,14,34,13.2,245,68,76,985,6,164,14,268,277,9999,64,1200,155,18,54,1
CALVIN03E,2023071212,EPAC,12.5,248.6,43,59,1001,16,229,10,282,291,9999,60,1026,106,-1,23,12.7,247.6,58,99,998,14,204,11,283,284,9999,62,1086,112,21,24,13,246.4,45,121,995,15,183,13,275,278,9999,63,1163,111,13,12,12.9,245,51,58,997,10,176,13,270,280,9999,63,1231,116,8,-7,13,243.8,50,81,991,8,130,14,278,279,9999,62,1281,127,19,5,1
CALVIN03E,2023071218,EPAC,12.7,246.9,56,88,1000,9,223,10,246,283,9999,63,1142,130,11,8,12.3,246,53,102,991,14,169,9,258,279,9999,63,1246,130,16,18,12.3,245,59,84,994,18,148,11,278,278,9999,63,1291,125,15,27,12.6,243.7,60,66,989,15,142,14,278,279,9999,63,1325,136,30,53,12.7,242.1,62,57,990,16,137,15,276,278,9999,63,1408,149,35,62,0
CALVIN03E,2023071300,EPAC,12.5,245.8,62,100,994,8,192,10,270,280,9999,62,1238,149,8,-5,12.5,244.8,64,92,989,11,179,10,270,279,9999,62,1280,138,9,-17,12.5,243.7,70,112,985,11,170,12,277,276,9999,62,1334,141,25,20,12.8,242.4,61,138,985,11,163,14,283,275,9999,62,1380,150,26,44,13.1,241,69,117,978,6,139,14,280,275,9999,63,1446,157,29,38,0
CALVIN03E,2023071306,EPAC,12.3,244.5,67,80,993,12,176,10,264,284,9999,63,1314,139,5,0,12.2,243.5,69,136,984,11,158,11,278,279,9999,62,1374,145,18,25,12.6,242.3,75,139,984,15,141,14,282,276,9999,63,1405,151,27,27,12.8,240.6,63,99,981,13,131,15,278,278,9999,63,1499,154,28,39,13,239.3,65,84,981,7,111,13,279,279,9999,63,1578,157,25,33,0
CALVIN03E,2023071312,EPAC,12.6,243.6,63,127,991,8,153,14,278,284,9999,60,1330,139,21,19,12.8,242.2,58,79,990,13,150,14,280,278,9999,61,1393,144,20,15,13.1,240.7,55,132,987,9,131,14,282,279,9999,61,1467,143,26,14,13.4,239.3,60,146,986,6,130,14,280,279,9999,61,1544,151,28,37,13.6,237.9,69,123,979,5,101,14,280,273,9999,60,1614,164,21,43,0
CALVIN03E,2023071318,EPAC,12.7,242,73,126,988,8,158,15,282,285,9999,63,1415,166,27,29,13,240.5,62,126,980,7,116,14,278,280,9999,63,1490,164,34,39,13.1,239.1,64,45,980,4,112,14,280,279,9999,63,1583,171,32,55,13.5,237.7,74,115,974,2,49,14,287,274,9999,62,1637,175,38,69,13.9,236.4,76,145,973,5,7,14,288,267,9999,62,1694,179,45,92,1
CALVIN03E,2023071400,EPAC,13.1,240.2,83,170,979,4,162,13,270,278,9999,60,1503,192,34,20,13.1,238.9,71,134,973,4,176,12,277,276,9999,60,1596,184,37,48,13.4,237.7,85,119,969,2,236,13,285,274,9999,60,1645,187,36,46,13.8,236.3,85,129,972,4,266,14,288,264,9999,60,1710,189,40,48,14.3,234.9,73,52,973,3,262,15,288,256,9999,60,1777,178,46,40,1
CALVIN03E,2023071406,EPAC,13.1,238.8,95,127,967,4,118,15,274,282,9999,61,1602,210,40,59,13.2,237.3,101,174,956,4,154,14,278,278,9999,60,1690,205,30,47,13.5,236,103,114,959,5,133,13,285,258,9999,60,1756,202,42,52,13.9,234.7,87,100,964,4,125,14,287,256,9999,61,1823,194,34,37,14.3,233.3,79,144,970,5,124,16,287,256,9999,61,1907,187,41,30,0
CALVIN03E,2023071412,EPAC,13.4,237.5,100,158,963,1,102,14,274,284,9999,58,1659,195,25,65,13.5,236.1,92,83,968,8,121,12,282,262,9999,58,1749,189,37,20,13.9,235,79,91,969,5,139,12,291,256,9999,59,1800,181,29,10,14.4,233.7,82,89,974,5,128,14,289,255,9999,60,1866,177,21,-2,14.8,232.3,85,156,973,1,107,14,288,253,9999,58,1953,172,22,26,0
CALVIN03E,2023071418,EPAC,13.7,236.1,115,92,952,6,14,14,286,270,9999,61,1733,213,41,37,14.1,234.7,96,163,957,4,318,15,285,258,9999,60,1808,199,46,41,14.5,233.1,85,161,965,3,304,15,283,254,9999,61,1909,192,41,29,14.8,231.6,85,103,967,4,269,15,282,251,9999,60,2003,186,37,44,15.1,230.1,78,74,974,3,234,15,281,250,9999,59,2090,179,22,57,0
CALVIN03E,2023071500,EPAC,14,234.7,108,143,954,7,318,16,284,256,9999,58,1816,210,37,49,14.4,233.1,83,180,962,3,319,15,282,256,9999,58,1916,193,40,37,14.6,231.7,69,89,966,1,162,13,283,251,9999,57,2012,182,24,6,15,230.4,67,28,973,4,137,14,287,249,9999,57,2075,173,17,5,15.4,229,67,103,968,4,109,14,287,250,9999,57,2152,170,13,14,0
CALVIN03E,2023071506,EPAC,14.2,233.2,107,184,964,4,311,15,282,262,9999,60,1922,197,37,58,14.5,231.7,70,53,963,3,250,15,285,252,9999,59,2021,183,15,26,15,230.2,72,34,972,1,172,15,288,250,9999,59,2090,178,20,43,15.4,228.8,65,100,971,2,170,14,284,249,9999,59,2168,172,14,47,15.7,227.3,61,158,972,6,107,15,286,241,9999,58,2268,164,20,26,0
CALVIN03E,2023071512,EPAC,14.5,231.7,99,39,969,4,295,14,290,258,9999,55,2021,211,17,28,15,230.3,69,62,967,1,173,14,288,250,9999,55,2082,178,14,5,15.4,228.9,62,100,973,3,174,14,287,249,9999,56,2160,171,10,-7,15.8,227.5,59,138,977,8,110,16,287,243,9999,56,2245,157,20,2,16.3,225.8,61,150,976,12,111,16,284,235,9999,54,2207,147,18,12,0
CALVIN03E,2023071518,EPAC,14.8,230.3,84,72,972,5,305,16,285,257,9999,58,2098,200,16,21,15.2,228.7,67,132,968,2,189,15,285,249,9999,59,2191,181,18,-1,15.6,227.2,57,109,977,8,115,15,285,241,9999,58,2284,170,30,8,16,225.6,58,104,977,14,112,16,285,236,9999,57,2194,156,28,12,16.4,224,59,124,982,12,120,16,283,239,9999,56,2017,148,14,7,0
CALVIN03E,2023071600,EPAC,15.2,228.8,84,125,972,3,261,15,285,249,9999,56,2183,207,19,4,15.6,227.3,62,123,971,8,98,15,283,241,9999,56,2275,170,22,-36,15.9,225.7,56,142,978,14,112,15,280,236,9999,55,2207,151,20,-38,16.1,224.2,53,125,987,12,124,15,282,238,9999,55,2045,136,12,-17,16.5,222.7,55,115,989,5,126,14,284,235,9999,55,1879,127,8,-1,0
CALVIN03E,2023071606,EPAC,15.5,227.4,86,120,980,3,116,16,285,244,9999,57,2274,187,22,-7,15.9,225.8,56,124,976,12,114,15,283,236,9999,57,2217,160,22,-26,16.2,224.3,52,115,987,13,127,15,286,238,9999,56,2053,143,13,5,16.7,222.8,48,64,990,6,142,15,285,235,9999,56,1885,131,20,23,17,221.2,47,115,995,2,71,16,281,239,9999,56,1711,128,23,23,0
CALVIN03E,2023071612,EPAC,15.8,226,60,124,988,10,98,15,286,241,9999,54,2241,164,18,-16,16.2,224.5,54,53,987,14,116,15,286,238,9999,54,2074,134,6,-3,16.6,223,49,46,992,11,122,15,284,236,9999,54,1908,122,6,24,16.9,221.5,45,127,998,6,117,16,283,238,9999,54,1745,112,14,14,17.3,219.8,43,99,1000,8,104,18,281,243,9999,54,1559,103,14,4,0
CALVIN03E,2023071618,EPAC,16,224.5,55,27,995,9,99,14,290,243,9999,56,2079,132,11,21,16.5,223.1,47,86,993,8,119,15,289,237,9999,56,1921,120,6,21,17,221.5,43,139,999,7,98,17,284,239,9999,56,1742,111,5,17,17.3,219.7,43,83,1000,8,94,18,278,243,9999,55,1548,106,19,9,17.5,217.7,40,66,1004,8,83,19,273,245,9999,54,1336,100,24,-16,0
CALVIN03E,2023071700,EPAC,16.3,222.9,57,60,996,5,127,15,298,236,9999,53,1905,129,10,21,17,221.5,45,174,997,7,107,17,287,237,9999,53,1742,108,3,5,17.3,219.4,43,36,1000,10,92,20,274,242,9999,53,1517,96,14,-7,17.3,217.3,40,82,1004,10,74,19,269,246,9999,52,1299,88,21,-3,17.2,215.4,37,121,1004,10,50,17,267,249,9999,53,1106,79,18,5,0
CALVIN03E,2023071706,EPAC,16.6,221.2,50,150,998,4,67,15,286,240,9999,56,1721,119,11,12,17,219.7,44,104,996,7,79,16,283,243,9999,55,1555,116,11,-25,17.3,217.9,41,86,1001,7,61,17,278,244,9999,54,1361,111,24,-12,17.5,216.1,40,97,1001,10,48,18,276,248,9999,54,1170,99,26,0,17.7,214.2,41,54,1004,11,45,19,276,249,9999,54,969,92,25,14,0
CALVIN03E,2023071712,EPAC,16.8,219.6,45,82,1000,5,68,16,285,245,9999,52,1550,116,10,-18,17.2,218,43,125,1001,9,61,17,283,244,9999,52,1374,106,14,3,17.6,216.1,40,118,1002,11,54,19,279,248,9999,52,1168,93,21,-3,17.8,214.1,39,41,1005,12,46,20,276,249,9999,52,956,88,29,32,18,212,38,110,1005,10,41,20,276,252,9999,51,735,82,24,22,0
CALVIN03E,2023071718,EPAC,17.1,217.6,45,119,1001,8,23,18,273,248,9999,54,1335,103,22,-10,17.2,215.7,38,150,1003,13,46,18,275,249,9999,54,1137,94,21,-8,17.4,213.8,35,35,1006,13,53,19,276,250,9999,54,936,86,29,17,17.6,211.8,36,121,1005,8,55,19,278,252,9999,52,727,80,30,33,17.9,209.9,36,184,1007,6,10,18,278,255,9999,52,526,74,21,15,0
CALVIN03E,2023071800,EPAC,17.3,215.7,34,125,1005,15,21,16,266,248,9999,51,1134,81,19,3,17.2,214,30,34,1008,14,51,18,275,250,9999,51,963,72,28,5,17.6,211.9,32,154,1008,9,58,21,278,251,9999,50,737,63,26,32,17.8,209.7,37,189,1010,6,16,20,271,255,9999,50,510,56,15,21,17.7,207.8,32,74,1010,12,357,18,264,253,9999,51,339,47,4,20,0
CALVIN03E,2023071806,EPAC,17.5,213.5,42,47,1002,10,32,21,273,252,9999,52,902,85,28,12,17.6,211.3,34,170,1005,9,52,20,271,252,9999,51,676,79,27,16,17.6,209.4,34,119,1008,4,29,17,272,255,9999,51,490,69,19,30,17.7,207.8,32,104,1008,8,348,15,277,253,9999,52,339,60,13,45,18,206.2,35,52,1010,12,8,16,283,253,9999,51,197,55,7,16,0
CALVIN03E,2023071812,EPAC,17.4,211.5,40,167,1003,9,26,18,270,253,9999,48,704,81,27,15,17.4,209.6,39,198,1007,7,351,17,270,256,9999,48,519,71,12,14,17.4,207.9,32,92,1008,12,345,15,272,254,9999,49,368,57,6,39,17.5,206.4,31,79,1010,17,7,15,274,254,9999,48,256,50,0,37,17.6,204.8,32,110,1011,18,36,16,277,255,9999,48,150,42,-1,-1,0
CALVIN03E,2023071818,EPAC,17.7,209.4,50,184,1002,8,351,17,267,256,9999,50,485,83,14,27,17.6,207.6,35,90,1005,10,332,16,268,253,9999,50,329,75,10,38,17.6,206.1,34,101,1008,11,351,14,278,255,9999,50,230,65,2,29,18,204.6,38,112,1009,13,24,16,281,254,9999,50,102,55,4,12,18.2,202.9,37,48,1012,14,52,17,282,258,9999,49,161,46,3,-23,0
CALVIN03E,2023071900,EPAC,17.8,207.7,51,82,1004,14,333,15,266,253,9999,48,324,102,4,56,17.7,206.1,42,150,1005,15,350,15,268,255,9999,48,221,82,1,25,17.7,204.6,39,132,1007,19,29,15,272,255,9999,48,135,64,4,18,17.8,203,36,12,1011,18,56,15,282,257,9999,48,185,49,3,-5,18.3,201.5,32,109,1011,18,60,16,283,261,9999,48,288,38,-4,14,0
CALVIN03E,2023071906,EPAC,17.8,205.8,44,150,1004,12,350,15,274,255,9999,50,192,72,-2,41,17.9,204.2,41,104,1008,14,24,16,275,256,9999,49,113,60,0,14,18.1,202.4,36,26,1011,13,48,16,279,258,9999,50,211,49,6,-7,18.4,200.9,29,127,1011,15,46,14,282,266,9999,50,336,41,-1,35,18.7,199.5,30,100,1012,21,49,16,279,267,9999,50,365,33,-2,7,0
CALVIN03E,2023071912,EPAC,17.8,204.2,50,149,1008,13,29,17,273,258,9999,48,124,60,-10,21,17.9,202.4,36,80,1011,15,52,17,277,258,9999,48,223,46,-9,-3,18.2,200.7,29,102,1012,18,59,16,279,267,9999,50,363,35,-7,43,18.4,199,27,125,1013,23,60,16,279,268,9999,49,412,28,-7,-2,18.7,197.3,24,181,1013,25,72,17,280,271,9999,49,473,25,-7,28,0
