Storm,Time,Basin,lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),lat(+18h),lon(+18h),MaxWind(+18h),RMW(+18h),MIN_SLP(+18h),SHR_MAG(+18h),SHR_HDG(+18h),STM_SPD(+18h),STM_HDG(+18h),SST(+18h),OHC(+18h),TPW(+18h),LAND(+18h),850TANG(+18h),850VORT(+18h),200DVRG(+18h),lat(+24h),lon(+24h),MaxWind(+24h),RMW(+24h),MIN_SLP(+24h),SHR_MAG(+24h),SHR_HDG(+24h),STM_SPD(+24h),STM_HDG(+24h),SST(+24h),OHC(+24h),TPW(+24h),LAND(+24h),850TANG(+24h),850VORT(+24h),200DVRG(+24h),class
MAWAR02W,2023052012,WPAC,5.9,149,33,104,1004,12,297,5,22,294,9999,66,1201,94,173,149,6.4,149.2,35,70,999,12,296,8,360,291,9999,66,1260,109,196,141,7.4,149,35,128,1004,10,307,9,324,288,9999,66,1347,111,202,155,7.9,148.1,36,114,1000,13,314,9,297,292,9999,64,1356,117,184,141,8.2,147.4,51,68,996,14,309,5,304,294,9999,63,1360,126,175,136,1
MAWAR02W,2023052018,WPAC,6.1,149.2,46,114,996,15,296,9,354,292,9999,65,1231,128,178,146,7,149.1,42,93,998,13,305,9,345,289,9999,66,1312,131,198,165,7.9,148.7,62,148,990,14,313,8,318,287,9999,64,1382,143,178,139,8.2,148,53,98,990,17,311,6,308,292,9999,63,1382,146,170,155,8.6,147.8,62,153,983,15,296,6,342,291,9999,62,1416,154,172,133,1
MAWAR02W,2023052100,WPAC,6.8,149.2,51,73,993,14,297,9,342,289,9999,64,1298,139,186,169,7.7,148.9,74,77,985,15,307,8,342,286,9999,64,1371,155,176,159,8.3,148.7,67,88,986,14,314,7,332,284,9999,64,1423,157,172,162,9,148.2,73,26,982,17,306,8,335,290,9999,63,1473,163,169,167,9.8,148,66,134,982,16,290,9,338,290,9999,63,1549,171,149,121,1
MAWAR02W,2023052106,WPAC,7.6,148.7,59,90,988,16,294,5,349,288,9999,63,1352,138,169,177,8.1,148.6,64,50,990,15,314,8,349,286,9999,64,1398,152,177,158,9.1,148.4,57,33,985,15,305,9,345,290,9999,63,1492,160,169,149,9.9,148.1,75,41,985,15,302,9,334,290,9999,63,1563,165,158,115,10.7,147.6,53,102,983,13,299,8,335,287,9999,63,1629,163,146,89,1
MAWAR02W,2023052112,WPAC,8.2,148.2,64,15,989,14,313,8,346,289,9999,63,1391,152,180,189,9,148,67,46,983,16,316,9,344,290,9999,63,1466,164,169,129,9.9,147.7,66,122,980,13,300,9,334,289,9999,62,1549,173,150,94,10.6,147.2,67,72,972,15,291,8,328,287,9999,62,1603,180,152,97,11.3,146.8,80,75,965,13,297,6,332,287,9999,62,1662,183,137,84,1
MAWAR02W,2023052200,WPAC,9.1,147.7,84,133,968,14,287,9,342,286,9999,63,1465,185,175,132,10,147.4,89,125,951,15,293,10,334,286,9999,63,1548,202,172,120,10.9,146.8,102,117,940,10,271,9,322,287,9999,63,1620,207,147,100,11.4,146.3,105,133,936,15,238,6,330,286,9999,61,1654,212,155,106,11.9,146.2,90,84,944,17,223,6,350,284,9999,62,1702,217,161,68,1
MAWAR02W,2023052206,WPAC,9.5,147,89,89,965,17,281,8,337,285,9999,62,1481,194,168,90,10.2,146.7,82,21,964,14,280,7,341,284,9999,63,1543,193,152,94,10.9,146.5,82,115,952,13,233,7,343,285,9999,61,1609,207,146,95,11.5,146.3,84,120,948,20,215,7,344,285,9999,62,1664,209,152,42,12.3,146.1,100,87,944,21,212,7,336,284,9999,63,1740,207,151,13,1
MAWAR02W,2023052212,WPAC,10,147,90,26,965,13,271,7,334,281,9999,61,1533,203,149,114,10.6,146.7,93,125,952,12,245,6,342,282,9999,60,1585,214,148,85,11.2,146.6,92,99,950,16,215,7,352,283,9999,61,1644,215,145,26,12,146.5,108,92,948,17,196,8,345,283,9999,61,1724,214,133,11,12.7,146.2,110,77,946,14,189,8,328,283,9999,63,1786,216,128,31,1
MAWAR02W,2023052218,WPAC,10.5,146.8,100,85,955,11,256,7,352,281,9999,59,1578,224,147,105,11.2,146.7,101,79,950,14,224,7,344,283,9999,61,1648,221,146,51,11.9,146.4,113,124,946,16,200,8,331,283,9999,61,1710,219,133,24,12.6,145.9,118,79,941,14,187,8,316,284,9999,62,1764,226,133,21,13,145.3,119,65,938,15,194,6,303,283,9999,61,1784,230,133,19,1
MAWAR02W,2023052300,WPAC,11.2,146.9,115,91,941,15,215,9,340,282,9999,60,1655,240,144,96,12,146.6,124,124,929,17,205,9,330,283,9999,61,1728,240,140,45,12.7,146,130,57,928,16,193,8,316,283,9999,62,1778,240,128,31,13.2,145.4,133,83,925,16,200,7,297,283,9999,62,1809,242,130,40,13.3,144.8,118,139,929,18,206,5,300,278,9999,61,1800,245,128,22,0
