Storm,LAT+00h,LON+00h,MAXWIND+00h,RMW+00h,MIN_SLP+00h,SHR_MAG+00h,SHR_HDG+00h,STM_SPD+00h,STM_HDG+00h,SST+00h,OHC+00h,TPW+00h,LAND+00h,850TANG+00h,850VORT+00h,200DVRG+00h,LAT+06h,LON+06h,MAXWIND+06h,RMW+06h,MIN_SLP+06h,SHR_MAG+06h,SHR_HDG+06h,STM_SPD+06h,STM_HDG+06h,SST+06h,OHC+06h,TPW+06h,LAND+06h,850TANG+06h,850VORT+06h,200DVRG+06h,LAT+12h,LON+12h,MAXWIND+12h,RMW+12h,MIN_SLP+12h,SHR_MAG+12h,SHR_HDG+12h,STM_SPD+12h,STM_HDG+12h,SST+12h,OHC+12h,TPW+12h,LAND+12h,850TANG+12h,850VORT+12h,200DVRG+12h,LAT+18h,LON+18h,MAXWIND+18h,RMW+18h,MIN_SLP+18h,SHR_MAG+18h,SHR_HDG+18h,STM_SPD+18h,STM_HDG+18h,SST+18h,OHC+18h,TPW+18h,LAND+18h,850TANG+18h,850VORT+18h,200DVRG+18h,LAT+24h,LON+24h,MAXWIND+24h,RMW+24h,MIN_SLP+24h,SHR_MAG+24h,SHR_HDG+24h,STM_SPD+24h,STM_HDG+24h,SST+24h,OHC+24h,TPW+24h,LAND+24h,850TANG+24h,850VORT+24h,200DVRG+24h,class
OTIS18E.2023102218,10.4,263.1,33.0,118.0,1005.0,10.0,211.0,4.0,327.0,288.0,9999.0,59.0,594.0,90.0,9.0,16.0,10.7,262.9,26.0,119.0,1003.0,12.0,241.0,3.0,292.0,288.0,9999.0,58.0,564.0,75.0,16.0,2.0,10.6,262.6,37.0,84.0,999.0,16.0,259.0,1.0,360.0,286.0,9999.0,59.0,580.0,75.0,2.0,15.0,10.9,262.9,37.0,125.0,1003.0,14.0,259.0,5.0,53.0,287.0,9999.0,59.0,542.0,71.0,18.0,22.0,11.2,263.4,35.0,70.0,1004.0,8.0,261.0,4.0,56.0,287.0,9999.0,59.0,502.0,70.0,18.0,28.0,0
OTIS18E.2023102300,10.9,262.6,37.0,115.0,1004.0,8.0,251.0,3.0,270.0,285.0,9999.0,59.0,547.0,92.0,21.0,25.0,10.9,262.3,32.0,113.0,1004.0,12.0,266.0,2.0,304.0,283.0,9999.0,60.0,553.0,81.0,26.0,30.0,11.1,262.3,62.0,73.0,996.0,16.0,254.0,3.0,218.0,282.0,9999.0,60.0,531.0,86.0,21.0,41.0,10.4,261.9,37.0,37.0,1005.0,16.0,254.0,2.0,90.0,277.0,9999.0,60.0,615.0,75.0,28.0,78.0,11.1,262.7,32.0,83.0,1005.0,6.0,282.0,8.0,44.0,281.0,9999.0,59.0,524.0,68.0,21.0,82.0,0
OTIS18E.2023102306,11.3,263.0,34.0,111.0,1004.0,11.0,250.0,5.0,292.0,285.0,9999.0,60.0,497.0,89.0,34.0,16.0,11.5,262.5,36.0,128.0,1003.0,12.0,262.0,4.0,310.0,283.0,9999.0,59.0,483.0,80.0,32.0,-1.0,11.8,262.4,50.0,73.0,1002.0,8.0,283.0,2.0,346.0,283.0,9999.0,59.0,452.0,82.0,33.0,29.0,11.9,262.4,33.0,73.0,1003.0,6.0,282.0,2.0,36.0,280.0,9999.0,59.0,442.0,73.0,34.0,61.0,12.2,262.7,30.0,98.0,1003.0,7.0,321.0,5.0,31.0,277.0,9999.0,58.0,403.0,71.0,43.0,65.0,0
OTIS18E.2023102312,11.7,262.6,39.0,112.0,1002.0,12.0,268.0,4.0,334.0,282.0,9999.0,60.0,460.0,112.0,34.0,23.0,12.1,262.4,40.0,115.0,1002.0,10.0,283.0,5.0,360.0,282.0,9999.0,59.0,420.0,89.0,20.0,32.0,12.7,262.6,45.0,77.0,997.0,12.0,306.0,6.0,5.0,278.0,9999.0,58.0,350.0,86.0,62.0,36.0,13.3,262.5,42.0,77.0,998.0,10.0,347.0,4.0,346.0,278.0,9999.0,57.0,286.0,86.0,65.0,80.0,13.5,262.4,37.0,75.0,999.0,10.0,347.0,4.0,327.0,277.0,9999.0,57.0,266.0,89.0,56.0,18.0,0
OTIS18E.2023102318,12.7,262.4,34.0,78.0,998.0,9.0,289.0,5.0,282.0,281.0,9999.0,58.0,354.0,76.0,42.0,29.0,12.8,261.9,35.0,89.0,1002.0,11.0,303.0,4.0,300.0,281.0,9999.0,58.0,352.0,69.0,57.0,14.0,13.1,261.7,33.0,107.0,1003.0,9.0,337.0,3.0,349.0,281.0,9999.0,57.0,323.0,66.0,50.0,59.0,13.3,261.8,38.0,38.0,999.0,10.0,332.0,3.0,360.0,279.0,9999.0,58.0,299.0,74.0,47.0,39.0,13.7,261.7,35.0,39.0,1001.0,10.0,348.0,5.0,332.0,284.0,9999.0,56.0,257.0,65.0,40.0,24.0,1
OTIS18E.2023102400,13.3,262.2,44.0,53.0,1000.0,11.0,310.0,8.0,300.0,279.0,9999.0,59.0,292.0,81.0,66.0,26.0,13.7,261.5,41.0,69.0,1000.0,9.0,328.0,7.0,307.0,294.0,9999.0,57.0,261.0,67.0,53.0,16.0,14.1,261.1,37.0,32.0,995.0,13.0,318.0,3.0,316.0,299.0,9999.0,56.0,232.0,78.0,39.0,56.0,14.2,261.0,40.0,24.0,999.0,16.0,335.0,3.0,316.0,298.0,9999.0,55.0,226.0,66.0,33.0,31.0,14.5,260.7,40.0,29.0,996.0,14.0,346.0,4.0,316.0,297.0,9999.0,54.0,209.0,61.0,37.0,63.0,1
OTIS18E.2023102406,14.0,261.7,47.0,51.0,993.0,10.0,331.0,8.0,311.0,294.0,9999.0,56.0,224.0,73.0,70.0,12.0,14.5,261.1,49.0,38.0,991.0,10.0,303.0,6.0,316.0,301.0,9999.0,54.0,191.0,79.0,38.0,37.0,14.8,260.9,45.0,25.0,999.0,13.0,313.0,3.0,334.0,298.0,9999.0,54.0,169.0,68.0,35.0,26.0,15.1,260.8,40.0,28.0,996.0,14.0,317.0,5.0,348.0,294.0,9999.0,53.0,144.0,57.0,32.0,26.0,15.7,260.7,52.0,20.0,994.0,14.0,331.0,5.0,348.0,293.0,9999.0,51.0,87.0,61.0,39.0,7.0,1
OTIS18E.2023102412,14.5,261.1,72.0,30.0,981.0,8.0,338.0,7.0,316.0,302.0,9999.0,54.0,191.0,107.0,24.0,5.0,15.0,260.6,68.0,29.0,984.0,7.0,330.0,6.0,328.0,294.0,9999.0,54.0,162.0,91.0,47.0,11.0,15.6,260.4,92.0,21.0,976.0,12.0,328.0,8.0,338.0,290.0,9999.0,52.0,111.0,87.0,57.0,11.0,16.4,260.0,95.0,15.0,976.0,17.0,328.0,7.0,333.0,292.0,9999.0,47.0,47.0,78.0,56.0,5.0,16.9,259.7,71.0,9.0,986.0,19.0,340.0,6.0,320.0,285.0,9999.0,44.0,10.0,58.0,80.0,-30.0,1
OTIS18E.2023102418,14.9,260.7,94.0,28.0,965.0,6.0,326.0,8.0,346.0,298.0,9999.0,56.0,168.0,102.0,43.0,31.0,15.7,260.5,119.0,18.0,962.0,12.0,290.0,10.0,339.0,291.0,9999.0,53.0,96.0,96.0,54.0,39.0,16.7,260.0,107.0,11.0,968.0,17.0,309.0,10.0,330.0,289.0,9999.0,47.0,17.0,79.0,66.0,33.0,17.5,259.4,30.0,80.0,1005.0,20.0,339.0,6.0,309.0,290.0,9999.0,42.0,-38.0,41.0,52.0,-12.0,17.4,259.1,27.0,94.0,1008.0,20.0,354.0,2.0,282.0,284.0,9999.0,40.0,-14.0,28.0,61.0,26.0,0
OTIS18E.2023102500,15.7,260.4,133.0,20.0,951.0,11.0,333.0,9.0,329.0,290.0,9999.0,53.0,101.0,106.0,45.0,14.0,16.5,259.9,129.0,5.0,953.0,14.0,320.0,9.0,332.0,289.0,9999.0,47.0,42.0,82.0,63.0,14.0,17.3,259.5,46.0,12.0,983.0,17.0,332.0,8.0,334.0,277.0,9999.0,44.0,-22.0,58.0,63.0,-6.0,17.9,259.2,25.0,127.0,1008.0,18.0,351.0,3.0,316.0,9999.0,9999.0,42.0,-66.0,32.0,51.0,21.0,17.8,259.0,19.0,150.0,1006.0,19.0,340.0,2.0,235.0,274.0,9999.0,41.0,-45.0,20.0,77.0,26.0,0
