lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),class
28.6,282.5,44,65,994,36,86,15,59,263,9999,48,301,138,32,99,29.4,284,43,123,996,34,90,20,53,259,9999,50,458,127,42,31,29.4,284,43,123,996,34,90,20,53,259,9999,50,458,127,42,31,0
29.9,285.1,50,120,993,31,84,22,49,260,9999,50,541,154,26,79,31.3,287,47,159,991,35,81,20,54,261,9999,51,507,167,63,86,31.3,287,47,159,991,35,81,20,54,261,9999,51,507,167,63,86,0
30.9,287.5,56,163,991,34,86,23,53,262,9999,51,572,172,40,97,32.3,289.7,52,133,989,32,83,20,61,258,9999,48,623,179,27,83,32.3,289.7,52,133,989,32,83,20,61,258,9999,48,623,179,27,83,0
32.1,289.9,59,135,985,32,81,21,68,251,9999,48,651,188,31,86,32.9,292.2,57,144,986,33,87,21,63,246,9999,48,800,185,26,67,32.9,292.2,57,144,986,33,87,21,63,246,9999,48,800,185,26,67,0
33,292,57,136,986,32,87,23,67,251,9999,45,779,186,30,38,33.9,294.6,49,152,990,40,87,23,67,245,9999,44,972,180,40,18,33.9,294.6,49,152,990,40,87,23,67,245,9999,44,972,180,40,18,0
33.7,294.8,52,176,991,36,85,24,68,247,9999,44,1000,191,42,27,34.6,297.5,51,138,991,36,86,25,70,232,9999,41,1022,175,71,41,34.6,297.5,51,138,991,36,86,25,70,232,9999,41,1022,175,71,41,0
34.7,297.8,52,112,992,32,84,24,80,238,9999,40,1018,179,71,23,35.1,300.7,42,65,994,32,71,26,77,221,9999,38,1075,156,99,13,35.1,300.7,42,65,994,32,71,26,77,221,9999,38,1075,156,99,13,0
33,280.3,37,12,1012,26,151,8,40,263,9999,50,-10,37,-102,6,33.6,280.9,35,158,1014,21,157,6,49,249,9999,49,-2,48,-68,1,33.6,280.9,35,158,1014,21,157,6,49,249,9999,49,-2,48,-68,1,0
33.2,280.9,34,117,1013,20,155,6,51,266,9999,49,21,47,-87,5,33.6,281.5,30,71,1013,17,149,6,57,265,9999,49,26,47,-47,6,33.6,281.5,30,71,1013,17,149,6,57,265,9999,49,26,47,-47,6,0
33.9,281.8,26,156,1014,24,155,8,49,272,9999,50,4,37,-63,-30,34.4,282.5,33,51,1014,18,164,10,58,253,9999,49,3,35,-64,-37,34.4,282.5,33,51,1014,18,164,10,58,253,9999,49,3,35,-64,-37,0
