lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD ,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,class
28.6,282.5,44,65,994,36,86,15,59,263,9999,48,301,138,32,99,0
29.9,285.1,50,120,993,31,84,22,49,260,9999,50,541,154,26,79,0
18.7,291.1,86,70,979,18,64,8,338,274,9999,55,-24,148,35,69,1
14.5,282.8,40,38,1002,2,162,13,279,290,9999,57,356,79,57,83,0
14.6,281.6,40,101,1006,3,103,9,289,294,9999,57,363,90,52,64,0
15,280.6,36,77,1004,7,149,11,316,298,9999,58,360,89,54,49,0
15.7,280,40,103,1005,7,209,14,322,298,9999,58,331,96,69,64,1
16.9,279.1,52,149,992,0,323,12,320,296,9999,57,311,115,73,92,1
17.7,278.3,74,31,985,4,59,12,330,298,9999,58,340,145,48,107,1
18.7,277.6,73,71,980,1,58,14,331,297,9999,58,375,143,40,79,1
19.7,277,77,75,976,4,325,11,350,301,9999,60,265,162,47,121,0
20.8,276.7,88,162,965,5,346,12,341,296,9999,59,145,170,66,132,0
21.8,276.4,101,106,951,9,20,10,355,302,9999,58,44,189,49,111,0
22.6,276.4,119,169,947,14,26,8,13,269,9999,58,-16,212,42,112,1
23.5,276.7,108,121,946,15,29,9,17,294,9999,58,72,216,72,123,1
24.4,277,106,35,948,22,28,10,10,290,9999,57,163,208,99,107,0
